alpha,seed,algo,final_reward,final_stability
0.0,1,PPO,-130.92841843456816,0.5676314549548882
0.0,1,EGP,-209.75652737755692,0.4652106822405737
0.0,1,FPRL,-212.33887318588313,0.462286916282833
0.0,2,PPO,-171.11781004407058,0.48427248323483907
0.0,2,EGP,-185.14151759036014,0.46783565285452855
0.0,2,FPRL,-204.93727309823421,0.45493431816833424
0.0,3,PPO,-157.02198388668162,0.5606837254574423
0.0,3,EGP,-224.32163293219435,0.46486996403609254
0.0,3,FPRL,-225.943999101595,0.4561887240841174
0.0,4,PPO,-266.2757212122307,0.40686050838985083
0.0,4,EGP,-183.9941993197061,0.46304210471851415
0.0,4,FPRL,-193.52760584259613,0.4562752480304646
0.0,5,PPO,-157.1443769778402,0.5072732362954356
0.0,5,EGP,-202.66898620212973,0.4654533696582779
0.0,5,FPRL,-202.5239664045605,0.46505712723819237
0.0,6,PPO,-138.0470365875426,0.6031479877133795
0.0,6,EGP,-183.57688531791004,0.486958210729355
0.0,6,FPRL,-202.23773494283557,0.47961601131680354
0.0,7,PPO,-423.2159367145202,0.12140175127944751
0.0,7,EGP,-212.04638727125928,0.4220880998273631
0.0,7,FPRL,-217.25613370327696,0.42657061415496916
0.0,8,PPO,-199.28092770958617,0.38457914324459364
0.0,8,EGP,-203.0365870466261,0.4473974987315068
0.0,8,FPRL,-220.50527188423652,0.43527863165245606
0.0,9,PPO,-117.96882077914049,0.5568426952698315
0.0,9,EGP,-183.19325352318694,0.48734237721326534
0.0,9,FPRL,-209.80715380733008,0.460266069354076
0.0,10,PPO,-147.06000299765233,0.5182698417069198
0.0,10,EGP,-165.35691798808855,0.48726288124695105
0.0,10,FPRL,-193.99550143564747,0.4613889782777851
0.05,1,PPO,-130.92841843456816,0.5676314549548882
0.05,1,EGP,-209.78184857665707,0.4651079937319267
0.05,1,FPRL,-213.06403044427856,0.46260424737784056
0.05,2,PPO,-171.11781004407058,0.48427248323483907
0.05,2,EGP,-184.14070269394784,0.4700813152281633
0.05,2,FPRL,-204.74352515758935,0.454758699563116
0.05,3,PPO,-157.02198388668162,0.5606837254574423
0.05,3,EGP,-224.8486120910507,0.4638092028035896
0.05,3,FPRL,-225.8736208303761,0.45565840294767734
0.05,4,PPO,-266.2757212122307,0.40686050838985083
0.05,4,EGP,-182.64484851392274,0.4646611979334584
0.05,4,FPRL,-193.33317638603597,0.45725844434854135
0.05,5,PPO,-157.1443769778402,0.5072732362954356
0.05,5,EGP,-201.76091499682627,0.4660160155979303
0.05,5,FPRL,-202.34310689226368,0.46464045121907865
0.05,6,PPO,-138.0470365875426,0.6031479877133795
0.05,6,EGP,-181.66452504934009,0.4893002774586538
0.05,6,FPRL,-202.6796696833207,0.48102322162241906
0.05,7,PPO,-423.2159367145202,0.12140175127944751
0.05,7,EGP,-208.8768417550219,0.4252196911483218
0.05,7,FPRL,-216.76189764612042,0.42862537294207365
0.05,8,PPO,-199.28092770958617,0.38457914324459364
0.05,8,EGP,-199.83150054749646,0.45113777630266344
0.05,8,FPRL,-220.48557140675553,0.43586742328735784
0.05,9,PPO,-117.96882077914049,0.5568426952698315
0.05,9,EGP,-179.3978865121218,0.4922202166208286
0.05,9,FPRL,-209.80503184938848,0.46025163322509866
0.05,10,PPO,-147.06000299765233,0.5182698417069198
0.05,10,EGP,-162.86882043414232,0.48887045227219356
0.05,10,FPRL,-194.0212127716704,0.461466098299367
0.1,1,PPO,-130.92841843456816,0.5676314549548882
0.1,1,EGP,-209.48776052065037,0.4655971370183102
0.1,1,FPRL,-213.75193947480875,0.46156234308479605
0.1,2,PPO,-171.11781004407058,0.48427248323483907
0.1,2,EGP,-189.77990117270411,0.4641961705934695
0.1,2,FPRL,-204.50088103048006,0.4546797026049186
0.1,3,PPO,-157.02198388668162,0.5606837254574423
0.1,3,EGP,-226.1680584004465,0.46241914141800144
0.1,3,FPRL,-225.73843732441708,0.45561338749953917
0.1,4,PPO,-266.2757212122307,0.40686050838985083
0.1,4,EGP,-180.7018622519087,0.46639143636047514
0.1,4,FPRL,-193.343658374725,0.45677533973598183
0.1,5,PPO,-157.1443769778402,0.5072732362954356
0.1,5,EGP,-202.357709073716,0.4659055737972478
0.1,5,FPRL,-202.47526881491996,0.4639228293968651
0.1,6,PPO,-138.0470365875426,0.6031479877133795
0.1,6,EGP,-177.2297874337634,0.4936383556798166
0.1,6,FPRL,-202.85903052473373,0.4813166580194705
0.1,7,PPO,-423.2159367145202,0.12140175127944751
0.1,7,EGP,-206.0280656723409,0.4281719581901805
0.1,7,FPRL,-217.04408903881455,0.4285404466277483
0.1,8,PPO,-199.28092770958617,0.38457914324459364
0.1,8,EGP,-196.16736353544033,0.4554366877245824
0.1,8,FPRL,-221.12722085232775,0.4347006339033187
0.1,9,PPO,-117.96882077914049,0.5568426952698315
0.1,9,EGP,-175.78067356652895,0.49636785491505675
0.1,9,FPRL,-209.84930078611865,0.4603961960860045
0.1,10,PPO,-147.06000299765233,0.5182698417069198
0.1,10,EGP,-154.99776383052196,0.49481931659724976
0.1,10,FPRL,-193.9343727508106,0.46143853790064426
0.15,1,PPO,-130.92841843456816,0.5676314549548882
0.15,1,EGP,-210.01675472635154,0.46537707649025084
0.15,1,FPRL,-213.65415847520688,0.4616903348708984
0.15,2,PPO,-171.11781004407058,0.48427248323483907
0.15,2,EGP,-196.01371915848839,0.458484312916853
0.15,2,FPRL,-204.76936494513953,0.45321444443780967
0.15,3,PPO,-157.02198388668162,0.5606837254574423
0.15,3,EGP,-230.9455041140753,0.45805661583720936
0.15,3,FPRL,-225.73305023367192,0.4552363275678643
0.15,4,PPO,-266.2757212122307,0.40686050838985083
0.15,4,EGP,-179.32588198497956,0.4676763496905502
0.15,4,FPRL,-193.23087962064483,0.4565197604242095
0.15,5,PPO,-157.1443769778402,0.5072732362954356
0.15,5,EGP,-202.7838548374261,0.465477563401638
0.15,5,FPRL,-202.32883196418862,0.46277657250602544
0.15,6,PPO,-138.0470365875426,0.6031479877133795
0.15,6,EGP,-175.83731198147788,0.49672005417932863
0.15,6,FPRL,-202.87413735983327,0.4814679266320055
0.15,7,PPO,-423.2159367145202,0.12140175127944751
0.15,7,EGP,-203.23356634764735,0.4308563975488653
0.15,7,FPRL,-217.18514145978986,0.43012221924333066
0.15,8,PPO,-199.28092770958617,0.38457914324459364
0.15,8,EGP,-191.6388769873584,0.4598128564989262
0.15,8,FPRL,-221.20945192056323,0.43632187802888367
0.15,9,PPO,-117.96882077914049,0.5568426952698315
0.15,9,EGP,-171.58275800348068,0.5007755072754326
0.15,9,FPRL,-209.87356108369914,0.4603300294416889
0.15,10,PPO,-147.06000299765233,0.5182698417069198
0.15,10,EGP,-164.42005205453992,0.48690757353506386
0.15,10,FPRL,-193.95826555160215,0.4613454843836674
0.2,1,PPO,-130.92841843456816,0.5676314549548882
0.2,1,EGP,-211.07594949830315,0.46476598371086664
0.2,1,FPRL,-213.31008475282138,0.4618876594174103
0.2,2,PPO,-171.11781004407058,0.48427248323483907
0.2,2,EGP,-203.15031900221717,0.45222447590281767
0.2,2,FPRL,-205.0112044653625,0.4525880687313105
0.2,3,PPO,-157.02198388668162,0.5606837254574423
0.2,3,EGP,-233.4580874129285,0.45548834525102083
0.2,3,FPRL,-225.92826802916022,0.4547721352685104
0.2,4,PPO,-266.2757212122307,0.40686050838985083
0.2,4,EGP,-177.97414445358433,0.46921405225137924
0.2,4,FPRL,-193.30558594912168,0.4566025896712703
0.2,5,PPO,-157.1443769778402,0.5072732362954356
0.2,5,EGP,-203.48590428996812,0.46540731958105014
0.2,5,FPRL,-202.01742254729712,0.461960944291792
0.2,6,PPO,-138.0470365875426,0.6031479877133795
0.2,6,EGP,-176.93869414595494,0.4948781502400912
0.2,6,FPRL,-202.99122989754522,0.48161027347585145
0.2,7,PPO,-423.2159367145202,0.12140175127944751
0.2,7,EGP,-199.6114739715459,0.4343573405564873
0.2,7,FPRL,-217.19911830543418,0.43096244849919046
0.2,8,PPO,-199.28092770958617,0.38457914324459364
0.2,8,EGP,-187.89916754635354,0.4635764310608209
0.2,8,FPRL,-220.9082427641998,0.43725079154642765
0.2,9,PPO,-117.96882077914049,0.5568426952698315
0.2,9,EGP,-167.34747630070632,0.5048431787264595
0.2,9,FPRL,-209.7777233606035,0.46012072868123544
0.2,10,PPO,-147.06000299765233,0.5182698417069198
0.2,10,EGP,-147.16912831682836,0.5007771706431521
0.2,10,FPRL,-194.09728449565895,0.461485208995918
0.25,1,PPO,-130.92841843456816,0.5676314549548882
0.25,1,EGP,-211.80537249781585,0.4639494084365547
0.25,1,FPRL,-213.21975200632122,0.4616237047304201
0.25,2,PPO,-171.11781004407058,0.48427248323483907
0.25,2,EGP,-208.2771764182707,0.44804700842194223
0.25,2,FPRL,-205.10928342600766,0.4520601828560073
0.25,3,PPO,-157.02198388668162,0.5606837254574423
0.25,3,EGP,-236.5650530682966,0.4527505064259702
0.25,3,FPRL,-226.1193586323165,0.4543787990587357
0.25,4,PPO,-266.2757212122307,0.40686050838985083
0.25,4,EGP,-176.7655676954765,0.4705204181243843
0.25,4,FPRL,-192.86839255676946,0.45506489565329417
0.25,5,PPO,-157.1443769778402,0.5072732362954356
0.25,5,EGP,-204.21009669077665,0.4648464379696411
0.25,5,FPRL,-201.64825733464562,0.4609930843993018
0.25,6,PPO,-138.0470365875426,0.6031479877133795
0.25,6,EGP,-172.57468416431095,0.49944884316290167
0.25,6,FPRL,-202.81675896499496,0.48159681449127917
0.25,7,PPO,-423.2159367145202,0.12140175127944751
0.25,7,EGP,-197.10194358368685,0.4372745923320255
0.25,7,FPRL,-217.52784004318636,0.43134223277118056
0.25,8,PPO,-199.28092770958617,0.38457914324459364
0.25,8,EGP,-183.11011258310077,0.46765749401937173
0.25,8,FPRL,-220.913446287236,0.4370594441193096
0.25,9,PPO,-117.96882077914049,0.5568426952698315
0.25,9,EGP,-161.78883315253051,0.5102777296536134
0.25,9,FPRL,-209.65617345063544,0.46036658533876434
0.25,10,PPO,-147.06000299765233,0.5182698417069198
0.25,10,EGP,-157.4225793535169,0.4916785281903241
0.25,10,FPRL,-194.2022293436395,0.46157581104425943
0.3,1,PPO,-130.92841843456816,0.5676314549548882
0.3,1,EGP,-213.98622066997572,0.4614630853824586
0.3,1,FPRL,-213.25317544385467,0.46073410488447103
0.3,2,PPO,-171.11781004407058,0.48427248323483907
0.3,2,EGP,-216.3696699097546,0.439289362726369
0.3,2,FPRL,-205.25111514241667,0.45158662266426464
0.3,3,PPO,-157.02198388668162,0.5606837254574423
0.3,3,EGP,-239.23861904609683,0.4498242864743509
0.3,3,FPRL,-226.10848188093522,0.45423624106008054
0.3,4,PPO,-266.2757212122307,0.40686050838985083
0.3,4,EGP,-175.03451659060667,0.47202409044661536
0.3,4,FPRL,-192.57354243665273,0.45457838305697945
0.3,5,PPO,-157.1443769778402,0.5072732362954356
0.3,5,EGP,-205.2501834185388,0.46378840129556675
0.3,5,FPRL,-201.73697490186936,0.4609849172620906
0.3,6,PPO,-138.0470365875426,0.6031479877133795
0.3,6,EGP,-175.61474172505027,0.4966930183893298
0.3,6,FPRL,-202.7452355482963,0.48161594591855195
0.3,7,PPO,-423.2159367145202,0.12140175127944751
0.3,7,EGP,-195.41159048894502,0.4394305126453683
0.3,7,FPRL,-217.69575415916975,0.4313660429526067
0.3,8,PPO,-199.28092770958617,0.38457914324459364
0.3,8,EGP,-179.54734749286357,0.4713808010111685
0.3,8,FPRL,-220.86486400071283,0.43695131841396356
0.3,9,PPO,-117.96882077914049,0.5568426952698315
0.3,9,EGP,-157.02864656605684,0.5148498514077687
0.3,9,FPRL,-209.6679049287411,0.460223988505462
0.3,10,PPO,-147.06000299765233,0.5182698417069198
0.3,10,EGP,-155.67173463970843,0.49425575046621606
0.3,10,FPRL,-194.07523276563762,0.46112755134023187
0.35,1,PPO,-130.92841843456816,0.5676314549548882
0.35,1,EGP,-216.01988892011377,0.4584576040904191
0.35,1,FPRL,-213.84104169607377,0.4600501318964531
0.35,2,PPO,-171.11781004407058,0.48427248323483907
0.35,2,EGP,-222.97659152159667,0.4338000416873691
0.35,2,FPRL,-205.08589468626408,0.45065932014485827
0.35,3,PPO,-157.02198388668162,0.5606837254574423
0.35,3,EGP,-242.80040948196498,0.44642592098434086
0.35,3,FPRL,-226.25541560214893,0.45442033553415323
0.35,4,PPO,-266.2757212122307,0.40686050838985083
0.35,4,EGP,-175.3988069161797,0.4726480459872633
0.35,4,FPRL,-192.81522157287637,0.4546089604819976
0.35,5,PPO,-157.1443769778402,0.5072732362954356
0.35,5,EGP,-206.3696436260501,0.46200668351948093
0.35,5,FPRL,-200.8593420211965,0.45958832331643557
0.35,6,PPO,-138.0470365875426,0.6031479877133795
0.35,6,EGP,-175.49613226002745,0.49685696848405325
0.35,6,FPRL,-202.4739105789674,0.48126132079005257
0.35,7,PPO,-423.2159367145202,0.12140175127944751
0.35,7,EGP,-193.97134618874702,0.4412900395578354
0.35,7,FPRL,-217.74880466874097,0.4310798610821981
0.35,8,PPO,-199.28092770958617,0.38457914324459364
0.35,8,EGP,-175.88621266586352,0.47519842721524086
0.35,8,FPRL,-220.81905161357273,0.43687489564830884
0.35,9,PPO,-117.96882077914049,0.5568426952698315
0.35,9,EGP,-153.4984223853378,0.5184665767531507
0.35,9,FPRL,-209.6893501061977,0.4600974199681073
0.35,10,PPO,-147.06000299765233,0.5182698417069198
0.35,10,EGP,-152.57961071224426,0.49627218073021173
0.35,10,FPRL,-194.3203832229557,0.4615998302936975
0.4,1,PPO,-130.92841843456816,0.5676314549548882
0.4,1,EGP,-217.20644747932784,0.45647561165056155
0.4,1,FPRL,-214.65830171296253,0.4589387602626288
0.4,2,PPO,-171.11781004407058,0.48427248323483907
0.4,2,EGP,-231.10185524425984,0.42341802279855323
0.4,2,FPRL,-205.21681451073124,0.4506065877191459
0.4,3,PPO,-157.02198388668162,0.5606837254574423
0.4,3,EGP,-246.67845657240287,0.44242153822388336
0.4,3,FPRL,-226.50227163626698,0.45463841029178936
0.4,4,PPO,-266.2757212122307,0.40686050838985083
0.4,4,EGP,-172.97903549393791,0.47455801315441953
0.4,4,FPRL,-192.84924424367895,0.4546997359635751
0.4,5,PPO,-157.1443769778402,0.5072732362954356
0.4,5,EGP,-208.43484804987258,0.4599426302107234
0.4,5,FPRL,-200.76345944093507,0.4587166709338903
