alpha,regime,entropy,divergence_rate
0.0,Convergent,0.0448429174721241,0.0
0.02,Convergent,0.044541794806718826,0.0
0.04,Convergent,0.04433542117476463,0.0
0.06,Convergent,0.044151220470666885,0.0
0.08,Convergent,0.04398876428604126,0.0
0.1,Convergent,0.044308874756097794,0.0
0.12,Convergent,0.044391702860593796,0.0
0.14,Convergent,0.04432709887623787,0.0
0.16,Convergent,0.04444369673728943,0.0
0.18,Convergent,0.04435588791966438,0.0
0.2,Convergent,0.04417082667350769,0.0
0.22,Convergent,0.04441196843981743,0.0
0.24,Convergent,0.04400425776839256,0.0
0.26,Convergent,0.04391484335064888,0.0
0.28,Convergent,0.04387115314602852,0.0
0.3,Convergent,0.04375113546848297,0.0
0.32,Convergent,0.04371001198887825,0.0
0.34,Convergent,0.04363187775015831,0.0
0.36,Convergent,0.04369831085205078,0.0
0.38,Convergent,0.04365147650241852,0.0
0.4,Convergent,0.043465692549943924,0.0
0.42,Convergent,0.0435471273958683,0.0
0.44,Convergent,0.04332585260272026,0.0
0.46,Convergent,0.04323066771030426,0.0
0.48,Convergent,0.04306517913937569,0.0
0.5,Convergent,0.043075308203697205,0.0
0.52,Convergent,0.04304864630103111,0.0
0.54,Convergent,0.042881231755018234,0.0
0.56,Convergent,0.04275493323802948,0.0
0.58,Convergent,0.042730242013931274,0.0
0.6,Convergent,0.04275299236178398,0.0
0.62,Convergent,0.0427371971309185,0.0
0.64,Convergent,0.04270985350012779,0.0
0.66,Convergent,0.04274645447731018,0.0
0.68,Convergent,0.042734015733003616,0.0
0.7,Convergent,0.04274939000606537,0.0
0.72,Convergent,0.04272875562310219,0.0
0.74,Convergent,0.04284290596842766,0.0
0.76,Convergent,0.04286202788352966,0.0
0.78,Convergent,0.04290647804737091,0.0
0.8,Convergent,0.042950112372636795,0.0
0.82,Convergent,0.04299822077155113,0.0
0.84,Convergent,0.043110549449920654,0.0
0.86,Convergent,0.0430859737098217,0.0
0.88,Convergent,0.04314981773495674,0.0
0.9,Convergent,0.0431390255689621,0.0
0.92,Convergent,0.04314035177230835,0.0
0.94,Convergent,0.04317517206072807,0.0
0.96,Convergent,0.043205682188272476,0.0
0.98,Convergent,0.043252840638160706,0.0
1.0,Convergent,0.043227750808000565,0.0
1.02,Convergent,0.04322526976466179,0.0
1.04,Convergent,0.043250929564237595,0.0
1.06,Convergent,0.04334225878119469,0.0
1.08,Convergent,0.043380364775657654,0.0
1.1,Convergent,0.04341966286301613,0.0
1.12,Convergent,0.0434279590845108,0.0
1.14,Convergent,0.04346929490566254,0.0
1.16,Convergent,0.0434628389775753,0.0
1.18,Convergent,0.043543849140405655,0.0
1.2,Convergent,0.04357098415493965,0.0
1.22,Convergent,0.043746549636125565,0.0
1.24,Convergent,0.04374102130532265,0.0
1.26,Convergent,0.04386606812477112,0.0
1.28,Convergent,0.043885428458452225,0.0
1.3,Convergent,0.043934982270002365,0.0
1.32,Convergent,0.0439603291451931,0.0
1.34,Convergent,0.043942105025053024,0.0
1.36,Convergent,0.043918486684560776,0.0
1.38,Convergent,0.04392077401280403,0.0
1.4,Convergent,0.04394562542438507,0.0
1.42,Convergent,0.04404010251164436,0.0
1.44,Convergent,0.04405759647488594,0.0
1.46,Convergent,0.04405746981501579,0.0
1.48,Convergent,0.044091254472732544,0.0
1.5,Convergent,0.0440935380756855,0.0
1.52,Convergent,0.04411641135811806,0.0
1.54,Convergent,0.044141221791505814,0.0
1.56,Convergent,0.04414471611380577,0.0
1.58,Convergent,0.044115230441093445,0.0
1.6,Convergent,0.04408784583210945,0.0
