alpha,algo,reward_mean,reward_std,stab_mean
0.1,PPO,-326.03628682451614,36.845597311681175,0.45125593689691607
0.1,SAC,-400.5350213549553,28.88007480825494,0.42173384865666025
0.1,EGP,-326.06891980174544,36.42728802658862,0.45128898566745845
0.1,FPRL,-397.9862705850199,17.261023898926,0.4242633675338448
0.1,ICRL,-326.06891980174544,36.42728802658862,0.45128898566745845
0.5,PPO,-326.03628682451614,36.845597311681175,0.45125593689691607
0.5,SAC,-400.5350213549553,28.88007480825494,0.42173384865666025
0.5,EGP,-327.81760888361293,36.26488803764676,0.4507722856469815
0.5,FPRL,-398.40404357983005,17.00953515928354,0.42452879826942014
0.5,ICRL,-327.81760888361293,36.26488803764676,0.4507722856469815
1.0,PPO,-326.03628682451614,36.845597311681175,0.45125593689691607
1.0,SAC,-400.5350213549553,28.88007480825494,0.42173384865666025
1.0,EGP,-331.1730579885812,37.50767199483129,0.45041160749088127
1.0,FPRL,-398.4934231458326,16.996337462952273,0.4243662254151884
1.0,ICRL,-331.1730579885812,37.50767199483129,0.45041160749088127
