alpha,seed,algo,avg_reward,stability_error
0.1,1,EGP,-198.23443496725798,0.4596514877920942
0.1,1,FPRL,-206.36637806240338,0.44921810639643206
0.1,1,PPO,-98.46853594697171,0.5767823981633025
0.1,2,EGP,-173.52856780193642,0.48588593093534377
0.1,2,FPRL,-204.49709324385694,0.45841279930705625
0.1,2,PPO,-139.7250207777089,0.5341319954899157
0.1,3,EGP,-192.49947995235914,0.4717838166961842
0.1,3,FPRL,-202.93910027518942,0.45737089847137924
0.1,3,PPO,-115.40405296413553,0.5787947091406451
0.1,4,EGP,-170.9007274582539,0.4926349397267757
0.1,4,FPRL,-197.93932205525147,0.46771616933499577
0.1,4,PPO,-197.23388619517746,0.5018633555720093
0.1,5,EGP,-205.66220584992544,0.4665860948136323
0.1,5,FPRL,-203.94963592686855,0.4633410391017166
0.1,5,PPO,-124.47935589367121,0.5285840576737996
0.1,6,EGP,-139.0308978054535,0.5242438769990474
0.1,6,FPRL,-208.87959358226195,0.4673915454519508
0.1,6,PPO,-100.19695265512402,0.6190681606146684
0.1,7,EGP,-163.70812241973962,0.4601388150177885
0.1,7,FPRL,-201.22813509451137,0.4507235988546564
0.1,7,PPO,-422.0989337730962,0.12876392064786973
0.1,8,EGP,-149.8026712718037,0.49877664152238527
0.1,8,FPRL,-195.63374287881257,0.4669421681270758
0.1,8,PPO,-107.1816083577471,0.47499105570107264
0.1,9,EGP,-141.1513738671621,0.5203755374573538
0.1,9,FPRL,-218.25941716644186,0.448468424542511
0.1,9,PPO,-94.1287011994242,0.5632919350023677
0.1,10,EGP,-145.97313286710656,0.5290122787975519
0.1,10,FPRL,-192.6798607481718,0.4789809388213185
0.1,10,PPO,-134.26503904952563,0.5642083913762547
0.1,11,EGP,-179.14313476242134,0.4666943233927603
0.1,11,FPRL,-200.80940363960283,0.45699584046645747
0.1,11,PPO,-452.5707983675461,0.09904517322938985
0.1,12,EGP,-190.3841202829616,0.4507972967089509
0.1,12,FPRL,-220.04191963143668,0.4212294093749391
0.1,12,PPO,-423.8564445516346,0.13904318492963966
0.1,13,EGP,-179.30049615291236,0.4734952243864797
