n_agents,algo,reward_mean,reward_std,total_collapses,resource_level
3,PPO,-43.679565026208245,0.04790270178389414,277,0.9767551251825765
3,SAC,-5.0720669900772615,0.016671207071496972,15000,0.008238731274251516
3,EGP,-43.679565026208245,0.04790270178389414,277,0.9767551251825765
3,FPRL,-5.0703445820864514,0.01200969120887071,15000,0.004526334530132791
3,ICRL,-43.679565026208245,0.04790270178389414,277,0.9767551251825765
5,PPO,-40.51544040551592,0.051802882910978336,121,0.9529917105354306
5,SAC,-5.139083359857661,0.008809818796348033,15000,0.007818575922997196
5,EGP,-40.51544040551592,0.051802882910978336,121,0.9529917105354306
5,FPRL,-5.134627043650118,0.006709197965238781,15000,0.006793117437583623
5,ICRL,-40.51544040551592,0.051802882910978336,121,0.9529917105354306
10,PPO,-32.58362009353334,0.0722675946661275,361,0.9124657372134485
10,SAC,-5.160901586042655,0.006008308596203229,15000,0.0013082170486450196
10,EGP,-32.58362009353334,0.0722675946661275,361,0.9124657372134485
10,FPRL,-5.159919164220003,0.004853437928520326,15000,0.002552013397216797
10,ICRL,-32.58362009353334,0.0722675946661275,361,0.9124657372134485
