seed,algo,n_agents,beta,gamma,avg_reward,collapse_count,final_resource,reward_std
1,PPO,3,0.3,0.5,-19.481478504323587,3,0.9646059172252697,0.3129846693237437
1,EGP,3,0.3,0.5,-19.481478504323587,3,0.9646059172252697,0.3129846693237437
1,FPRL,3,0.3,0.5,-4.9253429593430464,300,0.0,0.06341902167376254
2,PPO,3,0.3,0.5,-19.550508103819183,2,0.9784933898308177,0.30029997523398055
2,EGP,3,0.3,0.5,-19.550508103819183,2,0.9784933898308177,0.30029997523398055
2,FPRL,3,0.3,0.5,-4.914496685179653,300,0.0,0.04447474669905133
3,PPO,3,0.3,0.5,-19.562750293414396,1,0.9545811915282918,0.29732601570611117
3,EGP,3,0.3,0.5,-19.562750293414396,1,0.9545811915282918,0.29732601570611117
3,FPRL,3,0.3,0.5,-4.925714735834584,300,0.0,0.060631684727048
4,PPO,3,0.3,0.5,-19.53595804871948,7,0.9617179268765871,0.23679633048161786
4,EGP,3,0.3,0.5,-19.53595804871948,7,0.9617179268765871,0.23679633048161786
4,FPRL,3,0.3,0.5,-4.922356738259109,300,0.0,0.04295375947682465
5,PPO,3,0.3,0.5,-19.5544671713239,3,0.9441222269944427,0.2849578296869578
5,EGP,3,0.3,0.5,-19.5544671713239,3,0.9441222269944427,0.2849578296869578
5,FPRL,3,0.3,0.5,-4.918454226055272,300,0.0,0.06709794528001158
6,PPO,3,0.3,0.5,-19.572876167100446,2,0.9490870983841214,0.29978143179053124
6,EGP,3,0.3,0.5,-19.572876167100446,2,0.9490870983841214,0.29978143179053124
6,FPRL,3,0.3,0.5,-4.920232036724493,300,0.0,0.05111324638292472
7,PPO,3,0.3,0.5,-19.58869303509248,2,0.9386344610487893,0.29082857049209976
7,EGP,3,0.3,0.5,-19.58869303509248,2,0.9386344610487893,0.29082857049209976
7,FPRL,3,0.3,0.5,-4.9032618295298604,300,0.04050994429191025,0.056708257481288174
8,PPO,3,0.3,0.5,-19.528183799779846,2,0.9318749292146248,0.2780861835543429
8,EGP,3,0.3,0.5,-19.528183799779846,2,0.9318749292146248,0.2780861835543429
8,FPRL,3,0.3,0.5,-4.922061299676711,300,0.0,0.043425546420000884
9,PPO,3,0.3,0.5,-19.590862954577787,4,0.9459461114349016,0.2778390463614184
9,EGP,3,0.3,0.5,-19.590862954577787,4,0.9459461114349016,0.2778390463614184
9,FPRL,3,0.3,0.5,-4.929668379950373,300,0.006136661678552632,0.05632093086974555
10,PPO,3,0.3,0.5,-19.512785722932847,2,0.9731396297313933,0.2978432489394555
10,EGP,3,0.3,0.5,-19.512785722932847,2,0.9731396297313933,0.2978432489394555
10,FPRL,3,0.3,0.5,-4.917071454480399,300,0.021470578656309823,0.04876893814159575
11,PPO,3,0.3,0.5,-19.553657469936535,2,0.9223663230562321,0.32866845728626315
11,EGP,3,0.3,0.5,-19.553657469936535,2,0.9223663230562321,0.32866845728626315
11,FPRL,3,0.3,0.5,-4.922512609745929,300,0.018312489897012715,0.039400629094817716
12,PPO,3,0.3,0.5,-19.486781467297096,1,0.9492843445511452,0.2800714122175738
12,EGP,3,0.3,0.5,-19.486781467297096,1,0.9492843445511452,0.2800714122175738
12,FPRL,3,0.3,0.5,-4.930990464574221,300,0.0,0.04858001284116439
13,PPO,3,0.3,0.5,-19.590152876834107,1,0.966820230435819,0.25318725229405115
13,EGP,3,0.3,0.5,-19.590152876834107,1,0.966820230435819,0.25318725229405115
13,FPRL,3,0.3,0.5,-4.903256215065263,300,0.0,0.04482823127983813
14,PPO,3,0.3,0.5,-19.499705406501366,2,0.9659511835648464,0.35440764439021843
14,EGP,3,0.3,0.5,-19.499705406501366,2,0.9659511835648464,0.35440764439021843
14,FPRL,3,0.3,0.5,-4.913855113418673,300,0.018312489897012715,0.05186356005406602
15,PPO,3,0.3,0.5,-19.48614636807255,1,0.9522985593544062,0.30596879139429384
15,EGP,3,0.3,0.5,-19.48614636807255,1,0.9522985593544062,0.30596879139429384
15,FPRL,3,0.3,0.5,-4.913636789917218,300,0.0,0.050241077299042224
16,PPO,3,0.3,0.5,-19.59280460824334,1,0.9277111426789691,0.29101652722918975
16,EGP,3,0.3,0.5,-19.59280460824334,1,0.9277111426789691,0.29101652722918975
16,FPRL,3,0.3,0.5,-4.909057089237347,300,0.0,0.04810480356369831
17,PPO,3,0.3,0.5,-19.530405469131207,1,0.9598656805303539,0.3217945311805883
17,EGP,3,0.3,0.5,-19.530405469131207,1,0.9598656805303539,0.3217945311805883
17,FPRL,3,0.3,0.5,-4.921818107121509,300,0.018312489897012715,0.04670584210538507
18,PPO,3,0.3,0.5,-19.561021058481487,4,0.9630186690900159,0.3102768690364021
18,EGP,3,0.3,0.5,-19.561021058481487,4,0.9630186690900159,0.3102768690364021
18,FPRL,3,0.3,0.5,-4.935566117073066,300,0.0,0.043505360996102055
19,PPO,3,0.3,0.5,-19.625930344481088,6,0.9103763508496906,0.2299056737260061
19,EGP,3,0.3,0.5,-19.625930344481088,6,0.9103763508496906,0.2299056737260061
19,FPRL,3,0.3,0.5,-4.918923099926418,300,0.0,0.04032444245446589
20,PPO,3,0.3,0.5,-19.537580628627413,1,0.9498292035859789,0.3347884118261858
20,EGP,3,0.3,0.5,-19.537580628627413,1,0.9498292035859789,0.3347884118261858
20,FPRL,3,0.3,0.5,-4.927368283392213,300,0.034351438784343186,0.06344663024932089
21,PPO,3,0.3,0.5,-19.533276237848934,3,0.936943169730942,0.25712086525709565
21,EGP,3,0.3,0.5,-19.533276237848934,3,0.936943169730942,0.25712086525709565
21,FPRL,3,0.3,0.5,-4.9167690170997815,300,0.0,0.04026690669069232
22,PPO,3,0.3,0.5,-19.493975986846394,2,0.9618087748806434,0.2696184843232467
22,EGP,3,0.3,0.5,-19.493975986846394,2,0.9618087748806434,0.2696184843232467
22,FPRL,3,0.3,0.5,-4.915889724506547,300,0.0,0.0421195773339136
23,PPO,3,0.3,0.5,-19.53263489235198,1,0.9398319180673496,0.28098720231540725
23,EGP,3,0.3,0.5,-19.53263489235198,1,0.9398319180673496,0.28098720231540725
23,FPRL,3,0.3,0.5,-4.921733150394167,300,0.04531249083578588,0.03511541671396571
24,PPO,3,0.3,0.5,-19.584244612795153,1,0.9595948550006052,0.22712819506175827
24,EGP,3,0.3,0.5,-19.584244612795153,1,0.9595948550006052,0.22712819506175827
24,FPRL,3,0.3,0.5,-4.918659636648815,300,0.018312489897012715,0.050018728264332714
25,PPO,3,0.3,0.5,-19.564442658383875,1,0.9576059538338528,0.33612716671422677
25,EGP,3,0.3,0.5,-19.564442658383875,1,0.9576059538338528,0.33612716671422677
25,FPRL,3,0.3,0.5,-4.920322444924075,300,0.018312489897012715,0.04033460120670719
26,PPO,3,0.3,0.5,-19.575310969391456,1,0.9578233891934053,0.22824116593207572
26,EGP,3,0.3,0.5,-19.575310969391456,1,0.9578233891934053,0.22824116593207572
26,FPRL,3,0.3,0.5,-4.926729822472745,300,0.0,0.04783538201219803
27,PPO,3,0.3,0.5,-19.513018612387068,4,0.9337053553882367,0.339672573573046
27,EGP,3,0.3,0.5,-19.513018612387068,4,0.9337053553882367,0.339672573573046
27,FPRL,3,0.3,0.5,-4.9177781963597935,300,0.0,0.038894336694222764
