seed,algo,sigma_obs,alpha,avg_reward,reward_std,stab_error
1,PPO,0.01,0.1,-199.8786807933093,66.92400326979462,0.5468883980962859
1,SAC,0.01,0.1,-261.0952832341497,96.19158680949953,0.534791020366153
1,EGP,0.01,0.1,-199.36615441356406,66.40936178171788,0.5470407439219536
1,FPRL,0.01,0.1,-716.807583064326,204.92281453054764,0.5839505953478917
1,ICRL,0.01,0.1,-199.36615441356406,66.40936178171788,0.5470407439219536
2,PPO,0.01,0.1,-171.75916381919515,63.41696052771904,0.5598540581767296
2,SAC,0.01,0.1,-188.6669159877657,54.97147564190442,0.49780045704856035
2,EGP,0.01,0.1,-172.84438466839418,64.62179953266997,0.5606870600739394
2,FPRL,0.01,0.1,-644.8715248396257,244.37584022269624,0.5628736845495039
2,ICRL,0.01,0.1,-172.84438466839418,64.62179953266997,0.5606870600739394
3,PPO,0.01,0.1,-224.0382702498209,74.88442694729378,0.5304704414316083
3,SAC,0.01,0.1,-271.6410075225024,101.58493945618137,0.5950271801425204
3,EGP,0.01,0.1,-222.8526590189778,73.83862771058011,0.5291610161150475
3,FPRL,0.01,0.1,-818.6818861396808,217.30101930932855,0.5365718132301024
3,ICRL,0.01,0.1,-222.8526590189778,73.83862771058011,0.5291610161150475
4,PPO,0.01,0.1,-203.20557171999604,72.80707331182973,0.5476618745234063
4,SAC,0.01,0.1,-291.3569014185107,122.83124204697697,0.5819453467593418
4,EGP,0.01,0.1,-203.05978726083376,72.49058981530666,0.5475957761849627
4,FPRL,0.01,0.1,-766.4160837383198,246.70549787853287,0.6118324443344428
4,ICRL,0.01,0.1,-203.05978726083376,72.49058981530666,0.5475957761849627
5,PPO,0.01,0.1,-195.7590129693653,64.98863357587413,0.534322934790304
5,SAC,0.01,0.1,-334.35130437724604,142.9774588201852,0.5136507307533775
5,EGP,0.01,0.1,-195.77784847280435,64.58907534832706,0.5342492287977528
5,FPRL,0.01,0.1,-753.320290730261,208.58595061259942,0.535939306439181
5,ICRL,0.01,0.1,-195.77784847280435,64.58907534832706,0.5342492287977528
6,PPO,0.01,0.1,-230.99213605358813,99.56330830916649,0.6229119765052511
6,SAC,0.01,0.1,-434.3089127041487,205.89713775571192,0.5601169473630055
6,EGP,0.01,0.1,-231.16749767259475,100.19111118216637,0.6229940538211495
6,FPRL,0.01,0.1,-707.4417860822136,202.98844181667758,0.6969663454514619
6,ICRL,0.01,0.1,-231.16749767259475,100.19111118216637,0.6229940538211495
7,PPO,0.01,0.1,-191.56846467296913,62.42458492800677,0.5222624915767642
7,SAC,0.01,0.1,-272.45413328861054,118.77633460796957,0.5335430614929646
7,EGP,0.01,0.1,-189.58656622508948,60.961487511466,0.5217520557212773
7,FPRL,0.01,0.1,-684.1452596341064,195.438592752366,0.49092299414888746
7,ICRL,0.01,0.1,-189.58656622508948,60.961487511466,0.5217520557212773
8,PPO,0.01,0.1,-160.59501576928014,45.92236165096533,0.44256308328600663
8,SAC,0.01,0.1,-260.15878574054,94.52824963498064,0.5897248342411808
8,EGP,0.01,0.1,-159.97630509022423,45.39498170819403,0.4420577610004944
8,FPRL,0.01,0.1,-802.3862564988323,211.57035479494672,0.3523132962406793
8,ICRL,0.01,0.1,-159.97630509022423,45.39498170819403,0.4420577610004944
9,PPO,0.01,0.1,-140.7663507280052,44.93798741136344,0.49691663389044105
9,SAC,0.01,0.1,-353.8799800887569,109.55737437455284,0.6375990020948391
9,EGP,0.01,0.1,-140.24989561567145,44.35804552637564,0.49624406157101514
9,FPRL,0.01,0.1,-746.7970561855241,228.1231548834705,0.5378362839655471
9,ICRL,0.01,0.1,-140.24989561567145,44.35804552637564,0.49624406157101514
10,PPO,0.01,0.1,-176.90468034858236,79.94655573759206,0.5158209501823752
10,SAC,0.01,0.1,-347.5247566552077,144.11407235888854,0.5831374789344808
10,EGP,0.01,0.1,-177.0094437470883,80.1466283232824,0.515574182213274
10,FPRL,0.01,0.1,-788.7944372340838,212.79631977377986,0.5718980809636114
10,ICRL,0.01,0.1,-177.0094437470883,80.1466283232824,0.515574182213274
11,PPO,0.01,0.1,-290.24699529549486,107.40845863646409,0.49470960384500157
11,SAC,0.01,0.1,-241.2951180378746,73.27627472074957,0.5195420992469555
11,EGP,0.01,0.1,-296.21956255489516,109.21371343347215,0.4901422311029127
11,FPRL,0.01,0.1,-900.3802119978462,260.1968770710134,0.43989005606851833
11,ICRL,0.01,0.1,-296.21956255489516,109.21371343347215,0.4901422311029127
12,PPO,0.01,0.1,-235.6794042127082,89.60772210684928,0.5567589661638223
12,SAC,0.01,0.1,-550.6515273909524,210.85411136789148,0.7160329477435667
12,EGP,0.01,0.1,-234.81976572723798,87.47258591565783,0.5582374573378794
12,FPRL,0.01,0.1,-707.4928086933894,245.13233041704737,0.5604186120935746
12,ICRL,0.01,0.1,-234.81976572723798,87.47258591565783,0.5582374573378794
13,PPO,0.01,0.1,-148.17801703411186,45.41742527188371,0.47603644301013276
13,SAC,0.01,0.1,-403.7781637989503,142.98788460613792,0.548729953361595
13,EGP,0.01,0.1,-149.24929263178285,45.959051548676676,0.4758976712667694
13,FPRL,0.01,0.1,-727.6315344397543,247.8078100077191,0.5511606545271652
13,ICRL,0.01,0.1,-149.24929263178285,45.959051548676676,0.4758976712667694
14,PPO,0.01,0.1,-201.5074612445588,66.11127144813881,0.5466646185863804
14,SAC,0.01,0.1,-274.07282306938197,93.66960303271115,0.5719427099718802
14,EGP,0.01,0.1,-200.778560201365,65.75752045233112,0.546486454198177
14,FPRL,0.01,0.1,-772.8115004849033,218.19975692844037,0.5166353254487378
14,ICRL,0.01,0.1,-200.778560201365,65.75752045233112,0.546486454198177
15,PPO,0.01,0.1,-244.91223046475668,83.63689221273127,0.5834216909064481
15,SAC,0.01,0.1,-353.69848876542284,149.36836735406254,0.5761087770025015
15,EGP,0.01,0.1,-245.4785296628221,84.06012517133793,0.5844196234870782
15,FPRL,0.01,0.1,-797.5478264172137,234.6092461278537,0.6702303407410342
15,ICRL,0.01,0.1,-245.4785296628221,84.06012517133793,0.5844196234870782
16,PPO,0.01,0.1,-162.05108097610244,39.24216272795669,0.5323700418130004
16,SAC,0.01,0.1,-458.12129946143693,208.06827693044454,0.5960152078370853
16,EGP,0.01,0.1,-163.4883554526584,40.44220400614148,0.5339813398584844
16,FPRL,0.01,0.1,-661.1299411220128,201.75881259119774,0.6212623702741719
16,ICRL,0.01,0.1,-163.4883554526584,40.44220400614148,0.5339813398584844
17,PPO,0.01,0.1,-216.10602281838771,64.48335384353169,0.47649367421625116
17,SAC,0.01,0.1,-240.84606321163693,77.95757581644712,0.5035987407895887
17,EGP,0.01,0.1,-224.1976880458811,70.32958633383677,0.47743969180170565
17,FPRL,0.01,0.1,-705.9257135226133,170.82092610185205,0.4515763906858641
17,ICRL,0.01,0.1,-224.1976880458811,70.32958633383677,0.47743969180170565
18,PPO,0.01,0.1,-201.70437503140812,105.27315129502665,0.5231362460545634
18,SAC,0.01,0.1,-344.10205881494176,127.75734423666529,0.506759356951982
18,EGP,0.01,0.1,-201.73200441827004,104.64719727821529,0.5233105517340003
18,FPRL,0.01,0.1,-854.223885595648,266.53233871677514,0.4755089445403146
18,ICRL,0.01,0.1,-201.73200441827004,104.64719727821529,0.5233105517340003
19,PPO,0.01,0.1,-228.6244065361405,100.53217130038034,0.5603780988558766
19,SAC,0.01,0.1,-330.27553995464666,122.58213967809509,0.6441986742060913
19,EGP,0.01,0.1,-227.0229801943864,98.9943224455543,0.5580445110425353
19,FPRL,0.01,0.1,-839.7873745469556,212.4788866565637,0.49922803872730587
19,ICRL,0.01,0.1,-227.0229801943864,98.9943224455543,0.5580445110425353
20,PPO,0.01,0.1,-125.64331931670671,39.56479538764727,0.47451332824620146
20,SAC,0.01,0.1,-255.0500435846625,126.81357697307664,0.5977805609955021
20,EGP,0.01,0.1,-125.5815200899651,39.28500387543451,0.4743516626400292
20,FPRL,0.01,0.1,-721.1929607885875,285.3556527079852,0.46587696615208474
