sigma_obs,algo,reward_mean,reward_std,stab_mean
0.01,PPO,-194.08983411488495,39.25668100630688,0.5279812866114482
0.01,SAC,-311.06964689728477,76.37023216440065,0.5673461134499569
0.01,EGP,-199.1984118345696,46.15719320140702,0.5288077600360812
0.01,FPRL,-678.4961642784195,109.72090230406515,0.5550939648449269
0.01,ICRL,-199.1984118345696,46.15719320140702,0.5288077600360812
0.1,PPO,-197.89908363392277,39.624292742529505,0.5651209043738784
0.1,SAC,-313.83902073803443,76.31126528030016,0.6020298905812762
0.1,EGP,-203.18718163894715,46.525574081197746,0.5660362259343713
0.1,FPRL,-681.4123575030314,109.91224960191994,0.5895021212271819
0.1,ICRL,-203.18718163894715,46.525574081197746,0.5660362259343713
0.5,PPO,-292.6553503145549,46.75643850013826,1.0604867407375893
0.5,SAC,-385.0023943876505,78.6599925063367,1.0770487350832358
0.5,EGP,-299.402583844162,55.21654316459076,1.060520138668871
0.5,FPRL,-747.437781533353,107.8482184294296,1.0618910625461941
0.5,ICRL,-301.60010462328233,64.85775473509277,1.0604064970188467
1.0,PPO,-559.3448154558661,64.20501328365842,1.8764428535432258
1.0,SAC,-610.3991226319112,84.2227515224906,1.8811422819100174
1.0,EGP,-567.3941581437124,73.52187833982556,1.876265316076649
1.0,FPRL,-954.3515938376828,102.24588923406708,1.8555749243755433
1.0,ICRL,-569.33694921035,81.77385274010773,1.876183756893684
