sigma_obs,algo,reward_mean,reward_std,stab_mean
0.01,PPO,-194.08983411488495,39.20166110399714,0.5279812866114482
0.01,EGP,-202.55330736491052,52.156730756661034,0.5297203590071833
0.01,FPRL,-661.6814971677667,110.89797142290139,0.5590407646102985
0.05,PPO,-194.9796299094502,39.25416717469182,0.5378383267749332
0.05,EGP,-203.56487526798983,52.83596095672336,0.5395413516509279
0.05,FPRL,-662.3701973068851,111.01451985248703,0.5679939483445858
0.1,PPO,-197.89908363392274,39.56875761679036,0.5651209043738784
0.1,EGP,-206.8901069893438,54.060523664847025,0.5668613555230213
0.1,FPRL,-664.4116775952866,110.99690999865186,0.5930778995464355
0.2,PPO,-210.69771464427728,40.71495104680033,0.6554555576527089
0.2,EGP,-219.31864095165116,53.367387420821345,0.6566018101387796
0.2,FPRL,-672.3666410814348,110.93839732631675,0.6769335641465439
0.5,PPO,-292.655350314555,46.69090736982656,1.0604867407375893
0.5,EGP,-303.12261931842147,60.499124102458396,1.0611034649700986
0.5,FPRL,-729.8532556177415,108.73086806735694,1.0638602141570332
0.75,PPO,-407.2026154524674,54.8701210578005,1.4590512791229338
0.75,EGP,-419.1145339532761,70.13170366798444,1.4593339062039596
0.75,FPRL,-817.2710338015055,105.74154754526857,1.4506697295701754
1.0,PPO,-559.344815455866,64.11502723623643,1.876442853543226
1.0,EGP,-572.3390143080256,80.23574816773528,1.8765741499950528
1.0,FPRL,-939.0681174600963,103.14695498242628,1.8569810877742363
1.5,PPO,-961.1750549698944,78.37552006670414,2.7235775951089405
1.5,EGP,-973.9450289061609,88.87897825506734,2.723453188651622
1.5,FPRL,-1270.2127696331297,96.82736397826027,2.6752163016430712
