seed,algo,sigma_obs,avg_reward,stab_error
1,PPO,0.01,-199.8786807933093,0.5468883980962859
1,EGP,0.01,-199.85610594696206,0.5513916993023507
1,FPRL,0.01,-601.4323073277676,0.6219179851460139
2,PPO,0.01,-171.75916381919515,0.5598540581767296
2,EGP,0.01,-182.0397253188206,0.5678258339607067
2,FPRL,0.01,-486.1779095475002,0.5957605012969904
3,PPO,0.01,-224.0382702498209,0.5304704414316083
3,EGP,0.01,-222.65027604665008,0.5288612773055111
3,FPRL,0.01,-739.4162218654606,0.5595686176559457
4,PPO,0.01,-203.20557171999604,0.5476618745234063
4,EGP,0.01,-202.3636893678628,0.5469812165018452
4,FPRL,0.01,-674.8314185474609,0.6154466786457885
5,PPO,0.01,-195.7590129693653,0.534322934790304
5,EGP,0.01,-195.57933086713902,0.533857395301563
5,FPRL,0.01,-627.5148362491927,0.5813644809163205
6,PPO,0.01,-230.99213605358813,0.6229119765052511
6,EGP,0.01,-230.90905262360607,0.6215030506445516
6,FPRL,0.01,-598.732962858328,0.6965311087740045
7,PPO,0.01,-191.56846467296913,0.5222624915767642
7,EGP,0.01,-179.64025759307845,0.5166419078120325
7,FPRL,0.01,-605.7453200230186,0.5060924833135739
8,PPO,0.01,-160.59501576928014,0.44256308328600663
8,EGP,0.01,-158.20641053332542,0.44071872663679185
8,FPRL,0.01,-700.541032765944,0.38323155009012505
9,PPO,0.01,-140.7663507280052,0.49691663389044105
9,EGP,0.01,-138.87674396207694,0.4953715973517667
9,FPRL,0.01,-633.4657092123399,0.5675615839360992
10,PPO,0.01,-176.90468034858236,0.5158209501823752
10,EGP,0.01,-177.11072685224772,0.5146296493807226
10,FPRL,0.01,-676.116468648326,0.5777753705628497
1,PPO,0.1,-204.77909189339707,0.5829375310142034
1,EGP,0.1,-205.92917759508208,0.5878421901285609
1,FPRL,0.1,-605.1599537756404,0.6512682992445246
2,PPO,0.1,-173.55682043134087,0.591473519178508
2,EGP,0.1,-182.98399244782684,0.5977741546771659
2,FPRL,0.1,-489.414669243791,0.6250795605059671
3,PPO,0.1,-229.87337716750196,0.5695466190680699
3,EGP,0.1,-228.71470619755144,0.5675915433005279
3,FPRL,0.1,-741.5010216692424,0.5944074429667765
4,PPO,0.1,-208.7702090325705,0.5852860225278443
4,EGP,0.1,-208.13003877613824,0.5850183880461322
4,FPRL,0.1,-676.0101125266773,0.6469200616775541
5,PPO,0.1,-200.0819534102458,0.573116995547848
5,EGP,0.1,-199.98980647169796,0.5723857431999478
5,FPRL,0.1,-630.2072373118536,0.6147776208030842
6,PPO,0.1,-233.46174778153036,0.6537687575090075
6,EGP,0.1,-235.82328089095233,0.6549243220510663
6,FPRL,0.1,-602.4614399244407,0.7234223672473221
7,PPO,0.1,-194.23978929406297,0.5610935157651122
7,EGP,0.1,-182.22996665494486,0.5559652672660967
7,FPRL,0.1,-608.6547593875323,0.5439598659312813
8,PPO,0.1,-163.70432708096615,0.4842636376447595
8,EGP,0.1,-161.5925971723763,0.4827388061909505
8,FPRL,0.1,-703.9439894600794,0.4289979511231024
9,PPO,0.1,-144.5895542245727,0.5337733777319031
9,EGP,0.1,-142.97881622106803,0.532717074888448
9,FPRL,0.1,-635.3993502161142,0.5971378950618448
10,PPO,0.1,-181.94604391469653,0.5582563714135279
10,EGP,0.1,-182.20989346120035,0.5569283015745621
10,FPRL,0.1,-678.5617201767391,0.6122611245154451
1,PPO,0.5,-302.66239419355657,1.0737102444170001
1,EGP,0.5,-308.47467586232335,1.0761818382668717
1,FPRL,0.5,-684.9216255103453,1.093464979166866
2,PPO,0.5,-254.30385046830156,1.0674156381874795
2,EGP,0.5,-262.0474647938619,1.0702808173799947
2,FPRL,0.5,-564.7520319876073,1.074657287772104
3,PPO,0.5,-339.3549079805675,1.0580525120578066
3,EGP,0.5,-341.78689271467346,1.0565968814604385
3,FPRL,0.5,-800.713599775509,1.0601241582223486
4,PPO,0.5,-315.42752135205967,1.080493406095412
4,EGP,0.5,-314.21718969294665,1.0794672657733646
4,FPRL,0.5,-744.1813401803604,1.1003870702034202
5,PPO,0.5,-290.0403154547397,1.0708750686774493
5,EGP,0.5,-289.24209105146645,1.0705664970730784
5,FPRL,0.5,-699.5989353057113,1.0778893559586298
6,PPO,0.5,-337.5201408312011,1.1257788077976192
6,EGP,0.5,-336.42762852521383,1.123943279771014
6,FPRL,0.5,-693.0223114918783,1.1454190352268676
7,PPO,0.5,-271.96524335677634,1.049784244895382
7,EGP,0.5,-263.56230041487396,1.0469884024282055
7,FPRL,0.5,-669.2620216240763,1.033337500330201
8,PPO,0.5,-245.35302224432314,0.9971622728600456
8,EGP,0.5,-245.16821447521033,0.9970771241844981
8,FPRL,0.5,-765.3770502942818,0.963265049508122
9,PPO,0.5,-234.6837321271108,1.03485137761921
9,EGP,0.5,-234.03504300981237,1.0343213071946493
9,FPRL,0.5,-695.9443475217477,1.0551980660045621
10,PPO,0.5,-278.2404707175911,1.0629488268833087
10,EGP,0.5,-278.8489127132798,1.062155813907263
10,FPRL,0.5,-747.9958871358642,1.0772678090035113
1,PPO,1.0,-575.5945635232422,1.890743303867758
1,EGP,1.0,-582.7238450627015,1.8925849468693614
