sigma_obs,algo,reward_mean,stab_mean
0.01,PPO,-189.54673471241117,0.5319672842459172
0.01,EGP,-188.72323191117692,0.5317782354197842
0.01,FPRL,-634.3974187045338,0.570525036033771
0.1,PPO,-193.5002914230885,0.5693516347400784
0.1,EGP,-193.05822758888385,0.5693885791323459
0.1,FPRL,-637.131425369211,0.6038232189076903
0.5,PPO,-286.9551598726228,1.0621072399490714
0.5,EGP,-287.38104132536625,1.0617579227439375
0.5,FPRL,-706.5769150827381,1.0681010311396633
1.0,PPO,-550.5485316894637,1.8744478624386776
1.0,EGP,-552.712792813566,1.8741751410452026
1.0,FPRL,-921.9177192104937,1.8550856851607924
